1,2,3,4,5
13027,20095,38097,45079,
13031,20097,39011,46013,
13033,20101,39061,46093,
13035,20105,39063,46099,
13037,20109,39089,46103,
13039,20115,39097,47093,
13043,20117,39107,47149,
13045,20119,39109,47165,
13049,20123,39123,47189,
13053,20127,39133,48039,
13055,20129,39173,48091,
13059,20131,40073,48167,
13061,20135,40083,48187,
13063,20137,40087,48209,
13065,20139,40109,48339,
13069,20141,40143,48367,
13071,20145,40147,48381,
13075,20147,41027,48453,
13079,20151,41029,49035,
13081,20153,41053,49045,
13083,20155,41071,49049,
13087,20157,42001,50001,
13091,20159,42011,50003,
13093,20163,42055,50011,
13095,20165,42069,50013,
13099,20167,42071,50015,
13101,20169,42075,50017,
13105,20171,42093,50025,
13107,20179,42125,50027,
13109,20181,42127,51023,
13111,20183,42129,51047,
13115,20185,42133,51065,
13119,20187,45045,51069,
13123,20189,45091,51073,
13125,20191,46011,51093,
13129,20193,46027,51101,
13131,20195,46029,51115,
13133,20199,46035,51119,
13137,20201,46061,51127,
13141,20203,46079,51161,
13143,21021,46081,51199,
13147,21035,46087,51700,
13149,21049,46097,51735,
13155,21059,46101,51800,
13159,21091,46111,53011,
13161,21145,46135,53029,
13163,21149,47009,53031,
13165,21151,47021,53035,
13167,21157,47037,53053,
13171,21163,47065,53055,
13173,21227,47125,53067,
13175,22017,48011,53073,
13179,22019,48019,54037,
13181,22073,48031,54079,
13183,22095,48065,55015,
13185,22115,48071,55021,
13189,22121,48129,55049,
13193,22125,48139,55063,
13195,23001,48171,55087,
13197,23007,48221,55093,
13199,23019,48257,56001,
13201,23027,48265,56005,
13205,24011,48299,56021,
13207,24043,48329,56023,
13209,24045,48439,56025,
13213,25013,48493,56029,
13221,26005,49003,56033,
13225,26009,49005,56035,
13229,26013,49009,56037,
13231,26015,49013,,
13233,26017,49019,,
13235,26021,49047,,
13237,26027,49053,,
13239,26029,49057,,
13241,26039,50021,,
13243,26043,51019,,
13245,26075,51033,,
13249,26087,51079,,
13251,26091,51103,,
13253,26103,51109,,
13255,26115,51113,,
13257,26137,51121,,
13259,26147,51137,,
13261,27001,51157,,
13263,27007,51187,,
13265,27009,51515,,
13267,27011,51650,,
13269,27015,51775,,
13271,27021,53005,,
13273,27023,53009,,
13275,27029,53057,,
13277,27031,53063,,
13279,27033,54003,,
13281,27045,54039,,
13283,27047,55009,,
13285,27051,55027,,
13287,27061,55029,,
13289,27063,55035,,
13291,27065,55039,,
13293,27067,55045,,
