actual,predictions
6.3992394046879,5.326968524604115
11.447440836543754,6.0964214538135035
13.121293234661207,7.495880640003058
14.05814151369189,9.803196772420952
9.165559161601307,9.001376493553051
6.683836700501733,8.9840097569155
10.440261278886615,6.451881735739225
10.609563637488893,7.410155706969595
8.797070112648798,6.32131100920972
63.79496851856988,22.550549283581287
66.34345496300077,25.34949746810959
75.44694111858291,26.932183074187662
47.924500479245005,24.86104922680564
44.132397191574725,24.80745615226146
56.61913018861248,27.423041526874954
78.62172694332399,29.61921146739388
66.27149221309966,26.1247230223558
11.449255578209424,12.146540733570639
39.61896137368953,14.17641416894265
53.773539735331056,17.558693627374236
51.63767678973069,23.29395530094428
48.22442966068228,22.949746751612295
39.35491087148343,18.716238300471602
29.063840678098444,15.33901531245974
28.69022869022869,16.30903158248167
25.35237578447812,15.564973354487439
18.069205055362037,13.558572737680798
10.811979673478215,13.057789105288606
4.338849698630732,6.843527763173597
3.8456025534800955,9.710222231946402
3.7131102496695334,11.886172959861888
8.160600620205647,13.938240046429073
5.138376478567832,17.28326164326502
4.875780124819971,16.65234366107005
4.222405619638025,12.313208774443108
12.656505602085792,14.803145371920758
10.89591675519599,18.00978631408933
8.22426832049226,17.631356091946436
7.389526577663925,15.432407105514923
4.372297125413381,13.120341801165079
4.151479172028994,13.901914515715905
4.414125200642054,5.49941857515224
3.6930349361104957,6.654598556689544
5.863447633915647,8.258002456165592
6.808365779451501,10.069018526162695
19.018939694112053,12.667035105357048
16.727518376143987,15.52565170235691
16.52385336260416,18.30418119559846
13.090620757236309,18.38899473315609
9.954499641223242,16.090233149718955
7.783280693777062,13.617689006586657
7.56105552335106,14.513941197861511
6.192580404021639,13.414905818897955
6.279434850863423,5.260442266223019
10.72456833612447,6.092964540045651
6.553848488820514,7.507469622414472
7.558470165638475,9.591315491715877
5.682440851879061,8.728016444765917
7.399894660323071,6.54955152726604
5.248494338186733,7.17444830880693
17.858012565547025,9.642271686054329
49.69870162142014,22.636953585000267
41.77982034677251,22.419978745598712
36.565745209887375,24.181563140892674
44.46138211382114,26.005700704572785
42.7715996578272,24.364585672516576
18.62979988128918,11.929542931500453
31.77771893015013,14.036169274305738
42.24251193267808,17.45755558988588
36.9485183976992,22.320166096619275
28.682925356460828,22.515449782688144
20.374305090665658,18.563895676998477
22.461910109978596,15.185658213806045
20.648097425308666,16.096168922268497
16.547554092612636,15.184793257366131
11.762479735293065,13.445939475035916
