actual,predictions
6.3992394046879,3.879127
11.447440836543754,9.217443
13.121293234661207,11.46271
14.05814151369189,17.423506
9.165559161601307,11.80986
6.683836700501733,10.918804
10.440261278886615,9.560064
10.609563637488893,13.871335
8.797070112648798,12.108223
63.79496851856988,20.58156
66.34345496300077,38.952347
75.44694111858291,21.846613
47.924500479245005,25.181862
44.132397191574725,25.396357
56.61913018861248,39.31738
78.62172694332399,60.815746
66.27149221309966,52.058342
11.449255578209424,2.7191715
39.61896137368953,12.5363
53.773539735331056,23.802492
51.63767678973069,36.69492
48.22442966068228,35.212395
39.35491087148343,27.335838
29.063840678098444,20.403166
28.69022869022869,28.930489
25.35237578447812,17.659622
18.069205055362037,23.120253
10.811979673478215,9.69384
4.338849698630732,5.7772727
3.8456025534800955,6.683416
3.7131102496695334,8.249874
8.160600620205647,8.340712
5.138376478567832,10.220136
4.875780124819971,7.8247952
4.222405619638025,4.4107904
12.656505602085792,9.2439995
10.89591675519599,9.582149
8.22426832049226,8.857732
7.389526577663925,8.309074
4.372297125413381,6.557859
4.151479172028994,10.261185
4.414125200642054,7.000202
3.6930349361104957,7.296379
5.863447633915647,8.403247
6.808365779451501,3.7602537
19.018939694112053,10.0638075
16.727518376143987,11.287162
16.52385336260416,11.368312
13.090620757236309,13.32742
9.954499641223242,10.875572
7.783280693777062,13.265895
7.56105552335106,14.059255
6.192580404021639,8.851125
6.279434850863423,1.9547513
10.72456833612447,6.8101563
6.553848488820514,10.543946
7.558470165638475,12.281395
5.682440851879061,10.316328
7.399894660323071,9.7105875
5.248494338186733,11.59262
17.858012565547025,8.091722
49.69870162142014,17.378395
41.77982034677251,23.440838
36.565745209887375,23.644611
44.46138211382114,25.910065
42.7715996578272,26.081863
18.62979988128918,3.9512157
31.77771893015013,12.836448
42.24251193267808,18.07039
36.9485183976992,19.443115
28.682925356460828,23.63337
20.374305090665658,18.428562
22.461910109978596,19.928503
20.648097425308666,22.085476
16.547554092612636,10.5836315
11.762479735293065,26.54847
